dataset,algorithm,n_gen,pop_size,cross_prob,weights,execution_time,maintenance_batches,maintenance_duration,consolidation_rate,sla_violations,migrations,overall_migration_duration,avg_migration_duration,longest_migration_duration,vulnerability_surface,overloaded_servers,sla_violations_per_batch,updated_servers_per_batch,outdated_servers_per_batch,safeguarded_services_per_batch,vulnerable_services_per_batch,maintenance_duration_per_batch,migrations_duration_per_batch,duration_of_each_migration
dataset1,laxus,400,120,0.75,0,791.2952743,5,4460,42.5000,2,123,2210,7.25638814,60,154482,0,[0; 0; 0; 1; 1],[11; 11; 28; 28; 40],[29; 29; 12; 12; 0],[0; 37; 37; 90; 90],[90; 53; 53; 0; 0],[750; 1932; 2682; 3710; 4460],[0; 1182.0; 0; 1028.0; 0],[24.0; 16.0; 24.0; 4.0; 24.0; 32.0; 6.0; 18.0; 16.0; 4.0; 24.0; 24.0; 4.0; 2.0; 24.0; 24.0; 36.0; 12.0; 4.0; 12.0; 12.0; 4.0; 12.0; 16.0; 24.0; 4.0; 8.0; 32.0; 2.0; 20.0; 12.0; 12.0; 16.0; 48.0; 8.0; 24.0; 12.0; 36.0; 40.0; 16.0; 60.0; 4.0; 8.0; 6.0; 8.0; 8.0; 8.0; 6.0; 60.0; 8.0; 8.0; 6.0; 12.0; 24.0; 24.0; 8.0; 12.0; 12.0; 16.0; 8.0; 18.0; 32.0; 6.0; 12.0; 24.0; 8.0; 8.0; 24.0; 40.0; 12.0; 24.0; 16.0; 24.0; 24.0; 48.0; 24.0; 8.0; 2.0; 18.0; 24.0; 8.0; 16.0; 12.0; 48.0; 24.0; 12.0; 6.0; 4.0; 16.0; 4.0; 36.0; 12.0; 24.0; 48.0; 8.0; 16.0; 36.0; 24.0; 8.0; 12.0; 32.0; 32.0; 8.0; 24.0; 12.0; 6.0; 8.0; 12.0; 48.0; 12.0; 36.0; 8.0; 48.0; 4.0; 12.0; 24.0; 36.0; 8.0; 12.0; 16.0; 24.0; 8.0; 12.0]
dataset1,laxus,800,120,1,0,1391.560675,5,4572,44.5000,0,107,2322,8.180995475,84,163176,0,[0; 0; 0; 0; 0],[11; 11; 30; 30; 40],[29; 29; 10; 10; 0],[0; 51; 51; 90; 90],[90; 39; 39; 0; 0],[750; 2454; 3204; 3822; 4572],[0; 1704.0; 0; 618.0; 0],[32.0; 24.0; 24.0; 40.0; 4.0; 24.0; 24.0; 24.0; 4.0; 20.0; 8.0; 72.0; 2.0; 48.0; 24.0; 36.0; 12.0; 24.0; 48.0; 6.0; 32.0; 2.0; 36.0; 8.0; 28.0; 8.0; 16.0; 20.0; 16.0; 60.0; 40.0; 12.0; 36.0; 48.0; 16.0; 2.0; 4.0; 8.0; 16.0; 36.0; 20.0; 8.0; 32.0; 16.0; 84.0; 8.0; 48.0; 12.0; 6.0; 12.0; 24.0; 24.0; 72.0; 6.0; 24.0; 20.0; 48.0; 12.0; 28.0; 12.0; 72.0; 24.0; 24.0; 8.0; 24.0; 16.0; 56.0; 20.0; 24.0; 24.0; 8.0; 6.0; 16.0; 8.0; 2.0; 36.0; 12.0; 16.0; 4.0; 24.0; 4.0; 12.0; 8.0; 6.0; 4.0; 36.0; 6.0; 24.0; 24.0; 6.0; 24.0; 24.0; 12.0; 8.0; 24.0; 8.0; 16.0; 4.0; 16.0; 4.0; 36.0; 8.0; 24.0; 12.0; 4.0; 60.0; 24.0]
dataset1,laxus,900,120,1,0,1530.511461,5,4572,44.5000,0,107,2322,8.180995475,84,163176,0,[0; 0; 0; 0; 0],[11; 11; 30; 30; 40],[29; 29; 10; 10; 0],[0; 51; 51; 90; 90],[90; 39; 39; 0; 0],[750; 2454; 3204; 3822; 4572],[0; 1704.0; 0; 618.0; 0],[32.0; 24.0; 24.0; 40.0; 4.0; 24.0; 24.0; 24.0; 4.0; 20.0; 8.0; 72.0; 2.0; 48.0; 24.0; 36.0; 12.0; 24.0; 48.0; 6.0; 32.0; 2.0; 36.0; 8.0; 28.0; 8.0; 16.0; 20.0; 16.0; 60.0; 40.0; 12.0; 36.0; 48.0; 16.0; 2.0; 4.0; 8.0; 16.0; 36.0; 20.0; 8.0; 32.0; 16.0; 84.0; 8.0; 48.0; 12.0; 6.0; 12.0; 24.0; 24.0; 72.0; 6.0; 24.0; 20.0; 48.0; 12.0; 28.0; 12.0; 72.0; 24.0; 24.0; 8.0; 24.0; 16.0; 56.0; 20.0; 24.0; 24.0; 8.0; 6.0; 16.0; 8.0; 2.0; 36.0; 12.0; 16.0; 4.0; 24.0; 4.0; 12.0; 8.0; 6.0; 4.0; 36.0; 6.0; 24.0; 24.0; 6.0; 24.0; 24.0; 12.0; 8.0; 24.0; 8.0; 16.0; 4.0; 16.0; 4.0; 36.0; 8.0; 24.0; 12.0; 4.0; 60.0; 24.0]
dataset1,laxus,600,120,1,0,1057.763376,5,4602,44.5000,2,107,2352,8.29984917,84,164100,0,[0; 0; 0; 1; 1],[11; 11; 30; 30; 40],[29; 29; 10; 10; 0],[0; 51; 51; 90; 90],[90; 39; 39; 0; 0],[750; 2470; 3220; 3852; 4602],[0; 1720.0; 0; 632.0; 0],[32.0; 24.0; 24.0; 40.0; 4.0; 24.0; 24.0; 24.0; 4.0; 20.0; 8.0; 72.0; 2.0; 48.0; 24.0; 36.0; 12.0; 24.0; 48.0; 6.0; 32.0; 8.0; 36.0; 8.0; 28.0; 8.0; 16.0; 20.0; 16.0; 60.0; 40.0; 12.0; 36.0; 48.0; 16.0; 4.0; 4.0; 8.0; 16.0; 36.0; 20.0; 8.0; 32.0; 16.0; 84.0; 8.0; 48.0; 12.0; 6.0; 12.0; 24.0; 24.0; 72.0; 6.0; 24.0; 20.0; 48.0; 12.0; 28.0; 12.0; 72.0; 24.0; 24.0; 8.0; 24.0; 24.0; 56.0; 20.0; 72.0; 12.0; 8.0; 2.0; 8.0; 4.0; 12.0; 12.0; 4.0; 32.0; 4.0; 6.0; 6.0; 12.0; 12.0; 6.0; 8.0; 12.0; 6.0; 8.0; 24.0; 6.0; 24.0; 36.0; 12.0; 16.0; 24.0; 12.0; 16.0; 4.0; 16.0; 4.0; 36.0; 8.0; 24.0; 36.0; 12.0; 60.0; 16.0]
dataset1,laxus,600,120,0.75,0,1195.815551,7,5034,39.6429,0,125,2234,8.576719577,60,166206,0,[0; 0; 0; 0; 0; 0; 0],[11; 11; 27; 27; 39; 39; 40],[29; 29; 13; 13; 1; 1; 0],[0; 34; 34; 88; 88; 90; 90],[90; 56; 56; 2; 2; 0; 0],[750; 1854; 2604; 3686; 4436; 4484; 5034],[0; 1104.0; 0; 1082.0; 0; 48.0; 0],[24.0; 16.0; 24.0; 4.0; 24.0; 32.0; 6.0; 18.0; 16.0; 2.0; 24.0; 24.0; 4.0; 2.0; 24.0; 24.0; 36.0; 12.0; 4.0; 12.0; 12.0; 4.0; 12.0; 12.0; 24.0; 4.0; 8.0; 32.0; 2.0; 16.0; 12.0; 12.0; 16.0; 48.0; 8.0; 24.0; 12.0; 36.0; 40.0; 16.0; 60.0; 4.0; 8.0; 6.0; 8.0; 8.0; 8.0; 6.0; 8.0; 8.0; 6.0; 12.0; 24.0; 24.0; 8.0; 12.0; 12.0; 16.0; 8.0; 18.0; 32.0; 6.0; 12.0; 24.0; 8.0; 8.0; 24.0; 40.0; 4.0; 16.0; 32.0; 36.0; 12.0; 16.0; 4.0; 4.0; 6.0; 36.0; 24.0; 32.0; 16.0; 4.0; 36.0; 32.0; 6.0; 8.0; 36.0; 4.0; 4.0; 8.0; 24.0; 12.0; 24.0; 36.0; 16.0; 40.0; 18.0; 12.0; 12.0; 12.0; 40.0; 8.0; 32.0; 12.0; 24.0; 40.0; 24.0; 16.0; 6.0; 18.0; 60.0; 4.0; 36.0; 4.0; 8.0; 24.0; 36.0; 12.0; 12.0; 12.0; 60.0; 8.0; 8.0; 24.0; 24.0]
dataset1,laxus,800,120,0.75,0,1588.082825,7,5022,41.0714,12,124,2222,5.977591036,84,166222,0,[0; 0; 0; 3; 3; 3; 3],[11; 11; 27; 27; 39; 39; 40],[29; 29; 13; 13; 1; 1; 0],[0; 34; 34; 84; 84; 90; 90],[90; 56; 56; 6; 6; 0; 0],[750; 1850; 2600; 3700; 4450; 4472; 5022],[0; 1100.0; 0; 1100.0; 0; 22.0; 0],[24.0; 16.0; 24.0; 4.0; 24.0; 32.0; 6.0; 18.0; 16.0; 2.0; 24.0; 24.0; 4.0; 2.0; 24.0; 24.0; 36.0; 12.0; 4.0; 12.0; 12.0; 4.0; 12.0; 12.0; 24.0; 4.0; 8.0; 32.0; 2.0; 16.0; 12.0; 12.0; 16.0; 48.0; 8.0; 24.0; 12.0; 36.0; 40.0; 16.0; 60.0; 4.0; 8.0; 6.0; 8.0; 8.0; 8.0; 6.0; 8.0; 8.0; 6.0; 12.0; 24.0; 24.0; 8.0; 12.0; 12.0; 16.0; 8.0; 18.0; 32.0; 6.0; 12.0; 24.0; 8.0; 8.0; 24.0; 40.0; 84.0; 24.0; 32.0; 12.0; 24.0; 16.0; 4.0; 4.0; 6.0; 36.0; 60.0; 16.0; 8.0; 24.0; 32.0; 12.0; 20.0; 24.0; 4.0; 16.0; 8.0; 12.0; 36.0; 8.0; 32.0; 36.0; 84.0; 8.0; 12.0; 24.0; 16.0; 4.0; 12.0; 6.0; 24.0; 16.0; 8.0; 18.0; 72.0; 6.0; 36.0; 4.0; 36.0; 36.0; 12.0; 4.0; 16.0; 24.0; 24.0; 8.0; 2.0; 6.0; 4.0; 4.0; 4.0; 2.0]
dataset1,laxus,900,120,0.75,0,1751.285341,7,5022,41.0714,12,124,2222,5.977591036,84,166222,0,[0; 0; 0; 3; 3; 3; 3],[11; 11; 27; 27; 39; 39; 40],[29; 29; 13; 13; 1; 1; 0],[0; 34; 34; 84; 84; 90; 90],[90; 56; 56; 6; 6; 0; 0],[750; 1850; 2600; 3700; 4450; 4472; 5022],[0; 1100.0; 0; 1100.0; 0; 22.0; 0],[24.0; 16.0; 24.0; 4.0; 24.0; 32.0; 6.0; 18.0; 16.0; 2.0; 24.0; 24.0; 4.0; 2.0; 24.0; 24.0; 36.0; 12.0; 4.0; 12.0; 12.0; 4.0; 12.0; 12.0; 24.0; 4.0; 8.0; 32.0; 2.0; 16.0; 12.0; 12.0; 16.0; 48.0; 8.0; 24.0; 12.0; 36.0; 40.0; 16.0; 60.0; 4.0; 8.0; 6.0; 8.0; 8.0; 8.0; 6.0; 8.0; 8.0; 6.0; 12.0; 24.0; 24.0; 8.0; 12.0; 12.0; 16.0; 8.0; 18.0; 32.0; 6.0; 12.0; 24.0; 8.0; 8.0; 24.0; 40.0; 84.0; 24.0; 32.0; 12.0; 24.0; 16.0; 4.0; 4.0; 6.0; 36.0; 60.0; 16.0; 8.0; 24.0; 32.0; 12.0; 20.0; 24.0; 4.0; 16.0; 8.0; 12.0; 36.0; 8.0; 32.0; 36.0; 84.0; 8.0; 12.0; 24.0; 16.0; 4.0; 12.0; 6.0; 24.0; 16.0; 8.0; 18.0; 72.0; 6.0; 36.0; 4.0; 36.0; 36.0; 12.0; 4.0; 16.0; 24.0; 24.0; 8.0; 2.0; 6.0; 4.0; 4.0; 4.0; 2.0]
dataset1,laxus,1000,120,0.75,0,1918.168173,7,5022,41.0714,12,124,2222,5.977591036,84,166222,0,[0; 0; 0; 3; 3; 3; 3],[11; 11; 27; 27; 39; 39; 40],[29; 29; 13; 13; 1; 1; 0],[0; 34; 34; 84; 84; 90; 90],[90; 56; 56; 6; 6; 0; 0],[750; 1850; 2600; 3700; 4450; 4472; 5022],[0; 1100.0; 0; 1100.0; 0; 22.0; 0],[24.0; 16.0; 24.0; 4.0; 24.0; 32.0; 6.0; 18.0; 16.0; 2.0; 24.0; 24.0; 4.0; 2.0; 24.0; 24.0; 36.0; 12.0; 4.0; 12.0; 12.0; 4.0; 12.0; 12.0; 24.0; 4.0; 8.0; 32.0; 2.0; 16.0; 12.0; 12.0; 16.0; 48.0; 8.0; 24.0; 12.0; 36.0; 40.0; 16.0; 60.0; 4.0; 8.0; 6.0; 8.0; 8.0; 8.0; 6.0; 8.0; 8.0; 6.0; 12.0; 24.0; 24.0; 8.0; 12.0; 12.0; 16.0; 8.0; 18.0; 32.0; 6.0; 12.0; 24.0; 8.0; 8.0; 24.0; 40.0; 84.0; 24.0; 32.0; 12.0; 24.0; 16.0; 4.0; 4.0; 6.0; 36.0; 60.0; 16.0; 8.0; 24.0; 32.0; 12.0; 20.0; 24.0; 4.0; 16.0; 8.0; 12.0; 36.0; 8.0; 32.0; 36.0; 84.0; 8.0; 12.0; 24.0; 16.0; 4.0; 12.0; 6.0; 24.0; 16.0; 8.0; 18.0; 72.0; 6.0; 36.0; 4.0; 36.0; 36.0; 12.0; 4.0; 16.0; 24.0; 24.0; 8.0; 2.0; 6.0; 4.0; 4.0; 4.0; 2.0]
dataset1,laxus,700,120,0.75,0,1396.883316,7,5028,40.3571,12,124,2228,6.078543417,84,166256,0,[0; 0; 0; 3; 3; 3; 3],[11; 11; 27; 27; 39; 39; 40],[29; 29; 13; 13; 1; 1; 0],[0; 34; 34; 84; 84; 90; 90],[90; 56; 56; 6; 6; 0; 0],[750; 1850; 2600; 3702; 4452; 4478; 5028],[0; 1100.0; 0; 1102.0; 0; 26.0; 0],[24.0; 16.0; 24.0; 4.0; 24.0; 32.0; 6.0; 18.0; 16.0; 2.0; 24.0; 24.0; 4.0; 2.0; 24.0; 24.0; 36.0; 12.0; 4.0; 12.0; 12.0; 4.0; 12.0; 12.0; 24.0; 4.0; 8.0; 32.0; 2.0; 16.0; 12.0; 12.0; 16.0; 48.0; 8.0; 24.0; 12.0; 36.0; 40.0; 16.0; 60.0; 4.0; 8.0; 6.0; 8.0; 8.0; 8.0; 6.0; 8.0; 8.0; 6.0; 12.0; 24.0; 24.0; 8.0; 12.0; 12.0; 16.0; 8.0; 18.0; 32.0; 6.0; 12.0; 24.0; 8.0; 8.0; 24.0; 40.0; 84.0; 24.0; 32.0; 12.0; 24.0; 16.0; 4.0; 4.0; 8.0; 36.0; 60.0; 16.0; 8.0; 24.0; 32.0; 12.0; 20.0; 24.0; 4.0; 16.0; 8.0; 12.0; 36.0; 8.0; 32.0; 36.0; 84.0; 8.0; 12.0; 24.0; 16.0; 4.0; 12.0; 6.0; 24.0; 16.0; 8.0; 18.0; 72.0; 6.0; 36.0; 4.0; 36.0; 36.0; 12.0; 4.0; 16.0; 24.0; 24.0; 8.0; 2.0; 6.0; 8.0; 4.0; 4.0; 2.0]
dataset1,laxus,1000,120,1,0,1692.672504,5,4518,44.5000,0,107,2268,8.019402985,84,167368,0,[0; 0; 0; 0; 0],[11; 11; 29; 29; 40],[29; 29; 11; 11; 0],[0; 50; 50; 90; 90],[90; 40; 40; 0; 0],[750; 2398; 3148; 3768; 4518],[0; 1648.0; 0; 620.0; 0],[32.0; 24.0; 24.0; 40.0; 4.0; 24.0; 24.0; 24.0; 4.0; 20.0; 8.0; 72.0; 2.0; 48.0; 24.0; 36.0; 12.0; 24.0; 48.0; 6.0; 32.0; 2.0; 36.0; 8.0; 28.0; 8.0; 16.0; 20.0; 16.0; 60.0; 40.0; 12.0; 36.0; 48.0; 16.0; 2.0; 4.0; 8.0; 16.0; 36.0; 20.0; 8.0; 32.0; 16.0; 84.0; 8.0; 48.0; 12.0; 6.0; 12.0; 24.0; 24.0; 72.0; 6.0; 24.0; 20.0; 48.0; 12.0; 28.0; 12.0; 72.0; 24.0; 24.0; 8.0; 24.0; 16.0; 20.0; 24.0; 6.0; 24.0; 2.0; 24.0; 4.0; 4.0; 48.0; 4.0; 24.0; 4.0; 6.0; 12.0; 12.0; 12.0; 6.0; 4.0; 12.0; 6.0; 8.0; 16.0; 6.0; 24.0; 12.0; 12.0; 8.0; 24.0; 12.0; 24.0; 4.0; 16.0; 4.0; 24.0; 8.0; 24.0; 48.0; 8.0; 60.0; 16.0; 24.0]
dataset1,laxus,700,120,1,0,1204.239676,5,4542,43.5000,0,107,2292,8.139402985,84,167632,0,[0; 0; 0; 0; 0],[11; 11; 29; 29; 40],[29; 29; 11; 11; 0],[0; 50; 50; 90; 90],[90; 40; 40; 0; 0],[750; 2398; 3148; 3792; 4542],[0; 1648.0; 0; 644.0; 0],[32.0; 24.0; 24.0; 40.0; 4.0; 24.0; 24.0; 24.0; 4.0; 20.0; 8.0; 72.0; 2.0; 48.0; 24.0; 36.0; 12.0; 24.0; 48.0; 6.0; 32.0; 2.0; 36.0; 8.0; 28.0; 8.0; 16.0; 20.0; 16.0; 60.0; 40.0; 12.0; 36.0; 48.0; 16.0; 2.0; 4.0; 8.0; 16.0; 36.0; 20.0; 8.0; 32.0; 16.0; 84.0; 8.0; 48.0; 12.0; 6.0; 12.0; 24.0; 24.0; 72.0; 6.0; 24.0; 20.0; 48.0; 12.0; 28.0; 12.0; 72.0; 24.0; 24.0; 8.0; 24.0; 16.0; 20.0; 24.0; 6.0; 24.0; 2.0; 24.0; 4.0; 4.0; 48.0; 4.0; 24.0; 4.0; 6.0; 12.0; 12.0; 12.0; 6.0; 4.0; 12.0; 6.0; 8.0; 16.0; 6.0; 24.0; 12.0; 12.0; 32.0; 24.0; 12.0; 24.0; 4.0; 16.0; 4.0; 24.0; 8.0; 24.0; 48.0; 8.0; 60.0; 16.0; 24.0]
dataset1,laxus,600,120,0.5,0,1147.737595,5,4790,40.5000,8,121,2540,8.483223684,96,169134,0,[0; 0; 0; 4; 4],[11; 11; 26; 26; 40],[29; 29; 14; 14; 0],[0; 33; 33; 90; 90],[90; 57; 57; 0; 0],[750; 1868; 2618; 4040; 4790],[0; 1118.0; 0; 1422.0; 0],[24.0; 24.0; 16.0; 24.0; 4.0; 24.0; 16.0; 6.0; 24.0; 16.0; 24.0; 18.0; 8.0; 36.0; 12.0; 4.0; 12.0; 12.0; 4.0; 12.0; 12.0; 24.0; 4.0; 6.0; 24.0; 4.0; 16.0; 16.0; 48.0; 24.0; 8.0; 12.0; 60.0; 40.0; 16.0; 40.0; 60.0; 16.0; 12.0; 6.0; 8.0; 12.0; 2.0; 6.0; 6.0; 48.0; 24.0; 6.0; 8.0; 8.0; 12.0; 12.0; 28.0; 12.0; 18.0; 8.0; 24.0; 2.0; 18.0; 24.0; 8.0; 16.0; 24.0; 16.0; 84.0; 16.0; 48.0; 24.0; 2.0; 18.0; 8.0; 4.0; 48.0; 24.0; 12.0; 8.0; 32.0; 12.0; 24.0; 32.0; 12.0; 8.0; 18.0; 4.0; 20.0; 24.0; 12.0; 48.0; 12.0; 36.0; 24.0; 36.0; 32.0; 16.0; 6.0; 96.0; 12.0; 48.0; 8.0; 24.0; 32.0; 24.0; 8.0; 4.0; 16.0; 12.0; 24.0; 72.0; 8.0; 36.0; 12.0; 8.0; 60.0; 60.0; 36.0; 12.0; 32.0; 8.0; 18.0; 24.0; 24.0]
dataset1,laxus,500,120,1,0,911.2817349,5,4698,44.5000,2,110,2448,8.687168611,84,169188,0,[0; 0; 0; 1; 1],[11; 11; 29; 29; 40],[29; 29; 11; 11; 0],[0; 49; 49; 90; 90],[90; 41; 41; 0; 0],[750; 2394; 3144; 3948; 4698],[0; 1644.0; 0; 804.0; 0],[32.0; 24.0; 24.0; 40.0; 4.0; 24.0; 24.0; 24.0; 4.0; 20.0; 8.0; 72.0; 2.0; 2.0; 48.0; 24.0; 36.0; 12.0; 24.0; 48.0; 12.0; 32.0; 8.0; 36.0; 8.0; 28.0; 8.0; 16.0; 20.0; 16.0; 48.0; 40.0; 12.0; 36.0; 48.0; 16.0; 4.0; 4.0; 8.0; 16.0; 36.0; 20.0; 8.0; 32.0; 16.0; 84.0; 8.0; 36.0; 12.0; 6.0; 12.0; 24.0; 24.0; 12.0; 6.0; 24.0; 20.0; 48.0; 12.0; 28.0; 12.0; 72.0; 24.0; 24.0; 8.0; 24.0; 24.0; 56.0; 20.0; 24.0; 24.0; 16.0; 2.0; 8.0; 8.0; 8.0; 48.0; 4.0; 24.0; 4.0; 48.0; 6.0; 12.0; 8.0; 6.0; 16.0; 36.0; 6.0; 8.0; 18.0; 16.0; 6.0; 24.0; 12.0; 12.0; 24.0; 72.0; 16.0; 24.0; 24.0; 24.0; 4.0; 24.0; 20.0; 12.0; 12.0; 36.0; 12.0; 72.0; 24.0]
